"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:54.8450", "35.5010", "21.0870", "58.2570",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.8980", "35.9490", "20.8480", "48.1010",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.2200", "33.3670", "20.1600", "50.6930",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.0040", "34.2450", "20.9070", "47.8520",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.5150", "33.2170", "20.0340", "46.2640",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.2600", "34.0450", "20.9480", "47.2670",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3330", "33.9780", "21.0510", "47.3040",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4550", "33.9480", "20.8070", "47.7000",  "F:ST - R:ST",     "0 ",  
Average,,,"01:45.1939", "35.3056", "20.9086", "48.9797"
Best possible,,, "01:39.5150", "33.2170", "20.0340", "46.2640"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"cndelta"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:00.5150", "47.7280", "21.8380", "50.9490",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:51.1030", "35.2640", "28.2020", "47.6370",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.9650", "34.8990", "20.4930", "47.5730",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.1320", "35.5480", "21.3710", "47.2130",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4990", "33.9190", "20.9480", "47.6320",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9480", "34.2460", "20.9700", "46.7320",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.9680", "33.7520", "20.7550", "47.4610",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3630", "36.5590", "20.1690", "45.6350",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3110", "34.0150", "20.9380", "47.3580",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.2430", "33.9780", "21.0320", "47.2330",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
Average,,,"01:45.2047", "35.9908", "21.6716", "47.5423"
Best possible,,, "01:39.5560", "33.7520", "20.1690", "45.6350"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Shane Ross"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:00.4270", "46.0190", "22.6260", "51.7820",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:48.3250", "36.4510", "23.9220", "47.9520",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3620", "33.8180", "20.4480", "48.0960",  "F:ST - R:ST",     "0 ",  
