"", "Olilem reported contact with another vehicle Ks. Impact speed: 13.460564",
"", "Olilem reported contact with another vehicle Shane Ross. Impact speed: 9.442603",
"", "Shane Ross reported contact with another vehicle Olilem. Impact speed: 7.958757",
"", "Ali YARDIMCI reported contact with another vehicle Nahteyue. Impact speed: 29.51314",
"", "Nahteyue reported contact with another vehicle Ali YARDIMCI. Impact speed: 22.788483",
"", "Tareek reported contact with another vehicle cndelta. Impact speed: 12.987436",
"", "cndelta reported contact with another vehicle Tareek. Impact speed: 13.679065",
"", "Colin Kinzer reported contact with another vehicle Mateusz Wasik. Impact speed: 9.364717",
"", "Mateusz Wasik reported contact with another vehicle Colin Kinzer. Impact speed: 6.353669",
"", "Nahteyue reported contact with another vehicle Ali YARDIMCI. Impact speed: 20.685013",
"", "Ali YARDIMCI reported contact with another vehicle Nahteyue. Impact speed: 3.6939085",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 64.18927",
"", "Jack Olivier reported contact with another vehicle novic. Impact speed: 84.69204",
"", "novic reported contact with another vehicle Jack Olivier. Impact speed: 78.64545",
"", "Aitor Montero reported contact with environment. Impact speed: 13.869829",
"", "cndelta reported contact with environment. Impact speed: 14.006265",
"", "cndelta reported contact with environment. Impact speed: 82.55586",
"", "Miguel Soto reported contact with another vehicle Cameron McIntyre. Impact speed: 18.653883",
"", "Cameron McIntyre reported contact with another vehicle Miguel Soto. Impact speed: 13.445725",
"", "Cameron McIntyre reported contact with environment. Impact speed: 117.48562",
"", "Ali YARDIMCI reported contact with another vehicle Cameron McIntyre. Impact speed: 1.8420516",
"", "Cameron McIntyre reported contact with another vehicle Ali YARDIMCI. Impact speed: 12.506205",
"", "Nick Chin reported contact with environment. Impact speed: 6.369145",
"", "Olilem reported contact with another vehicle Shane Ross. Impact speed: 37.56222",
"", "Olilem reported contact with another vehicle Jack Olivier. Impact speed: 14.08922",
"", "Shane Ross reported contact with another vehicle Olilem. Impact speed: 39.156155",
"", "Jack Olivier reported contact with another vehicle Olilem. Impact speed: 22.740067",
"", "Olilem reported contact with another vehicle Jack Olivier. Impact speed: 4.6006703",
"", "Shane Ross reported contact with environment. Impact speed: 1.2393706",
"", "Aitor Montero reported contact with environment. Impact speed: 7.096427",
"", "Aitor Montero reported contact with environment. Impact speed: 20.276838",
"", "Miguel Soto reported contact with environment. Impact speed: 13.243627",
"", "Miguel Soto reported contact with environment. Impact speed: 0.93335724",
"", "Ks reported contact with environment. Impact speed: 14.376592",
"", "Ks reported contact with another vehicle bright. Impact speed: 5.222198",
"", "bright reported contact with another vehicle Ks. Impact speed: 0.7855416",
"", "Ks reported contact with another vehicle bright. Impact speed: 12.660851",
"", "bright reported contact with another vehicle Ks. Impact speed: 8.014056",
"", "Olilem reported contact with environment. Impact speed: 13.610207",
"", "Ks reported contact with environment. Impact speed: 45.781807",
"", "Jens Beetsma reported contact with another vehicle Colin Kinzer. Impact speed: 144.15047",
"", "Jens Beetsma reported contact with another vehicle bright. Impact speed: 210.16019",
"", "bright reported contact with another vehicle Jens Beetsma. Impact speed: 174.65778",
"", "Shane Ross reported contact with environment. Impact speed: 13.1531315",
"", "Colin Kinzer reported contact with another vehicle Jens Beetsma. Impact speed: 150.72455",
"", "Jens Beetsma reported contact with another vehicle bright. Impact speed: 27.119482",
"", "Jens Beetsma reported contact with environment. Impact speed: 38.70825",
"", "Mateusz Wasik reported contact with environment. Impact speed: 18.547699",
"", "Ks reported contact with another vehicle Mateusz Wasik. Impact speed: 244.6586",
"", "Ks reported contact with another vehicle Jack Olivier. Impact speed: 52.27943",
"", "Jens Beetsma reported contact with another vehicle Jack Olivier. Impact speed: 59.991016",
"", "Jack Olivier reported contact with another vehicle Jens Beetsma. Impact speed: 50.349697",
"", "Jack Olivier reported contact with another vehicle Ks. Impact speed: 55.007195",
"", "Mateusz Wasik reported contact with another vehicle Ks. Impact speed: 245.07011",
"", "Mateusz Wasik reported contact with environment. Impact speed: 38.65499",
"", "Ks reported contact with another vehicle Jack Olivier. Impact speed: 27.262833",
"", "Ks reported contact with environment. Impact speed: 52.790047",
"", "Mateusz Wasik reported contact with environment. Impact speed: 24.737593",
"", "Ks reported contact with another vehicle Olilem. Impact speed: 165.2127",
"", "Ks reported contact with another vehicle Tareek. Impact speed: 174.3297",
"", "Ks reported contact with environment. Impact speed: 85.42077",
"", "Tareek reported contact with another vehicle Ks. Impact speed: 137.54248",
"", "Tareek reported contact with environment. Impact speed: 202.48558",
"", "Olilem reported contact with another vehicle Ks. Impact speed: 231.4889",
"", "Olilem reported contact with environment. Impact speed: 154.4605",
"", "Tareek reported contact with environment. Impact speed: 11.265541",
"", "Josh Brookes reported contact with another vehicle Nahteyue. Impact speed: 159.35754",
"", "Tareek reported contact with environment. Impact speed: 16.575817",
"", "Shane Ross reported contact with environment. Impact speed: 37.145214",
"", "Nahteyue reported contact with another vehicle Josh Brookes. Impact speed: 132.2749",
"", "Miguel Soto reported contact with another vehicle Tareek. Impact speed: 199.21858",
"", "Miguel Soto reported contact with environment. Impact speed: 166.57698",
"", "Tareek reported contact with another vehicle Miguel Soto. Impact speed: 183.23615",
"", "Tareek reported contact with environment. Impact speed: 109.96593",
"", "Miguel Soto reported contact with environment. Impact speed: 7.6436715",
"", "Ali YARDIMCI reported contact with another vehicle Tareek. Impact speed: 258.34906",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 143.41405",
"", "Tareek reported contact with another vehicle Ali YARDIMCI. Impact speed: 258.5718",
"", "Tareek reported contact with environment. Impact speed: 98.994606",
"", "Aitor Montero reported contact with another vehicle Ali YARDIMCI. Impact speed: 155.88834",
"", "Aitor Montero reported contact with environment. Impact speed: 44.12331",
"", "Ali YARDIMCI reported contact with another vehicle Aitor Montero. Impact speed: 160.01468",
"", "Aitor Montero reported contact with environment. Impact speed: 4.689424",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 31.455746",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 30.030441",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 128.43683",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 4.09384",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 14.733263",
"", "Ali YARDIMCI reported contact with environment. Impact speed: 20.154655",

Race 2 cuts
'======================
Date, Lap e.t., Lap, Driver, Cut Time, Time skipped
"", "00:00", "2", "Jens Beetsma", "", ""
"", "00:00", "6", "Jens Beetsma", "", ""
"", "00:00", "9", "Colin Kinzer", "", ""
"", "00:00", "1", "bright", "", ""
"", "00:00", "2", "bright", "", ""
"", "00:00", "4", "bright", "", ""
"", "00:00", "5", "bright", "", ""
"", "00:00", "7", "bright", "", ""
"", "00:00", "1", "Mateusz Wasik", "", ""
"", "00:00", "1", "Mateusz Wasik", "", ""
"", "00:00", "1", "Mateusz Wasik", "", ""
"", "00:00", "2", "Mateusz Wasik", "", ""
"", "00:00", "2", "Mateusz Wasik", "", ""
"", "00:00", "3", "Mateusz Wasik", "", ""
"", "00:00", "4", "Mateusz Wasik", "", ""
"", "00:00", "4", "Mateusz Wasik", "", ""
"", "00:00", "5", "Mateusz Wasik", "", ""
"", "00:00", "5", "Mateusz Wasik", "", ""
"", "00:00", "5", "Mateusz Wasik", "", ""
"", "00:00", "6", "Mateusz Wasik", "", ""
"", "00:00", "6", "Mateusz Wasik", "", ""
"", "00:00", "7", "Mateusz Wasik", "", ""
"", "00:00", "8", "Mateusz Wasik", "", ""
"", "00:00", "9", "Mateusz Wasik", "", ""
"", "00:00", "10", "Mateusz Wasik", "", ""
"", "00:00", "10", "Mateusz Wasik", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "2", "Jack Olivier", "", ""
"", "00:00", "3", "Jack Olivier", "", ""
"", "00:00", "4", "Jack Olivier", "", ""
"", "00:00", "5", "Jack Olivier", "", ""
"", "00:00", "6", "Jack Olivier", "", ""
"", "00:00", "8", "Jack Olivier", "", ""
"", "00:00", "8", "Jack Olivier", "", ""
"", "00:00", "8", "Jack Olivier", "", ""
"", "00:00", "1", "Ks", "", ""
"", "00:00", "2", "Ks", "", ""
"", "00:00", "6", "Ks", "", ""
"", "00:00", "7", "Ks", "", ""
"", "00:00", "8", "Ks", "", ""
"", "00:00", "9", "Ks", "", ""
"", "00:00", "9", "Ks", "", ""
"", "00:00", "10", "Ks", "", ""
"", "00:00", "2", "Josh Brookes", "", ""
"", "00:00", "2", "Josh Brookes", "", ""
"", "00:00", "8", "Josh Brookes", "", ""
"", "00:00", "1", "novic", "", ""
"", "00:00", "4", "novic", "", ""
"", "00:00", "4", "novic", "", ""
"", "00:00", "8", "novic", "", ""
"", "00:00", "9", "novic", "", ""
"", "00:00", "10", "novic", "", ""
"", "00:00", "2", "Olilem", "", ""
"", "00:00", "3", "Olilem", "", ""
"", "00:00", "5", "Olilem", "", ""
"", "00:00", "7", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "9", "Olilem", "", ""
"", "00:00", "10", "Olilem", "", ""
"", "00:00", "1", "Tareek", "", ""
"", "00:00", "3", "Tareek", "", ""
"", "00:00", "7", "Tareek", "", ""
"", "00:00", "10", "Tareek", "", ""
"", "00:00", "1", "Nahteyue", "", ""
"", "00:00", "3", "Nahteyue", "", ""
"", "00:00", "5", "Nahteyue", "", ""
"", "00:00", "9", "Nahteyue", "", ""
"", "00:00", "5", "Shane Ross", "", ""
"", "00:00", "6", "Shane Ross", "", ""
"", "00:00", "6", "Shane Ross", "", ""
"", "00:00", "6", "Shane Ross", "", ""
"", "00:00", "7", "Shane Ross", "", ""
"", "00:00", "9", "Shane Ross", "", ""
"", "00:00", "1", "Miguel Soto", "", ""
"", "00:00", "5", "Miguel Soto", "", ""
"", "00:00", "5", "Miguel Soto", "", ""
"", "00:00", "8", "Miguel Soto", "", ""
"", "00:00", "9", "Miguel Soto", "", ""
"", "00:00", "2", "Ali YARDIMCI", "", ""
"", "00:00", "2", "Ali YARDIMCI", "", ""
"", "00:00", "3", "Ali YARDIMCI", "", ""
"", "00:00", "4", "Ali YARDIMCI", "", ""
"", "00:00", "5", "Ali YARDIMCI", "", ""
"", "00:00", "5", "Ali YARDIMCI", "", ""
"", "00:00", "5", "Ali YARDIMCI", "", ""
"", "00:00", "10", "Ali YARDIMCI", "", ""
"", "00:00", "1", "Cameron McIntyre", "", ""
"", "00:00", "1", "Cameron McIntyre", "", ""
"", "00:00", "3", "Cameron McIntyre", "", ""
"", "00:00", "4", "Cameron McIntyre", "", ""
"", "00:00", "5", "Cameron McIntyre", "", ""
"", "00:00", "5", "Cameron McIntyre", "", ""
"", "00:00", "6", "Cameron McIntyre", "", ""
"", "00:00", "7", "Cameron McIntyre", "", ""
"", "00:00", "8", "Cameron McIntyre", "", ""
"", "00:00", "8", "Cameron McIntyre", "", ""
"", "00:00", "8", "Cameron McIntyre", "", ""
"", "00:00", "9", "Cameron McIntyre", "", ""
"", "00:00", "9", "Cameron McIntyre", "", ""
"", "00:00", "9", "Cameron McIntyre", "", ""
"", "00:00", "10", "Cameron McIntyre", "", ""
"", "00:00", "1", "Aitor Montero", "", ""
"", "00:00", "1", "Aitor Montero", "", ""
"", "00:00", "2", "Aitor Montero", "", ""
"", "00:00", "2", "Aitor Montero", "", ""
"", "00:00", "2", "Aitor Montero", "", ""
"", "00:00", "2", "Aitor Montero", "", ""
"", "00:00", "3", "Aitor Montero", "", ""
"", "00:00", "3", "Aitor Montero", "", ""
"", "00:00", "3", "Aitor Montero", "", ""
"", "00:00", "4", "Aitor Montero", "", ""
"", "00:00", "4", "Aitor Montero", "", ""
"", "00:00", "4", "Aitor Montero", "", ""
"", "00:00", "5", "Aitor Montero", "", ""
"", "00:00", "5", "Aitor Montero", "", ""
"", "00:00", "5", "Aitor Montero", "", ""
"", "00:00", "7", "Aitor Montero", "", ""
"", "00:00", "7", "Aitor Montero", "", ""
"", "00:00", "7", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "8", "Aitor Montero", "", ""
"", "00:00", "9", "Aitor Montero", "", ""
"", "00:00", "9", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "10", "Aitor Montero", "", ""
"", "00:00", "1", "Nick Chin", "", ""
"", "00:00", "2", "Nick Chin", "", ""
"", "00:00", "2", "Nick Chin", "", ""
"", "00:00", "4", "Nick Chin", "", ""
"", "00:00", "4", "Nick Chin", "", ""
"", "00:00", "5", "Nick Chin", "", ""
"", "00:00", "5", "Nick Chin", "", ""
"", "00:00", "1", "cndelta", "", ""
"", "00:00", "1", "cndelta", "", ""
"", "00:00", "2", "cndelta", "", ""
"", "00:00", "4", "cndelta", "", ""
"", "00:00", "4", "cndelta", "", ""






'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "melbourne, melbourne22_fe"
"
Best lap, "Colin Kinzer (01:36.7240)"
Lasted laps, "12"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Delta Airlines Korean Air Racing", "vrc_formula_lithium_2023_csp", "Colin Kinzer", "7", "01:36.7240", "-",
"2",   "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "novic", "10", "01:37.6010", "00:00.8770",
"3",   "", "River Racing", "vrc_formula_lithium_2023_csp", "Josh Brookes", "9", "01:37.7250", "00:01.0010",
"4",   "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Nahteyue", "12", "01:37.7550", "00:01.0310",
"5",   "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Ks", "9", "01:37.9300", "00:01.2060",
"6",   "", "ASDA United", "vrc_formula_lithium_2023_csp", "cndelta", "4", "01:38.2260", "00:01.5020",
"7",   "", "", "vrc_formula_lithium_2023_csp", "Jens Beetsma", "9", "01:38.7280", "00:02.0040",
"8",   "", "River Racing", "vrc_formula_lithium_2023_csp", "Mateusz Wasik", "10", "01:38.7760", "00:02.0520",
"9",   "", "", "vrc_formula_lithium_2023_csp", "Nick Chin", "9", "01:39.3470", "00:02.6230",
"10",   "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "Darkzi", "3", "01:39.5930", "00:02.8690",
"11",   "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "Tareek", "8", "01:39.6070", "00:02.8830",
"12",   "", "", "vrc_formula_lithium_2023_csp", "Shane Ross", "11", "01:39.6980", "00:02.9740",
"13",   "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "bright", "2", "01:40.0470", "00:03.3230",
"14",   "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Cameron McIntyre", "8", "01:40.6980", "00:03.9740",
"15",   "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Miguel Soto", "10", "01:43.2280", "00:06.5040",
"16",   "", "", "vrc_formula_lithium_2023_csp", "Ali YARDIMCI", "8", "01:43.6870", "00:06.9630",
"17",   "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Aitor Montero", "10", "01:49.8090", "00:13.0850",
"18",   "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Skyp Cooper", "0", "-", "-",
"19",   "", "Delta Airline Korean Air Racing", "vrc_formula_lithium_2023_csp", "Alexander Sze", "0", "-", "-",
"20",   "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "Alfie Bevan", "0", "-", "-",
"21",   "", "", "vrc_formula_lithium_2023_csp", "Jack Olivier", "0", "-", "-",
"22",   "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Law Loki", "0", "-", "-",
"23",   "", "", "vrc_formula_lithium_2023_csp", "Olilem", "0", "-", "-",
"24",   "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Viktor Nightingale", "0", "-", "-",
"25",   "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "potatolad165", "0", "-", "-",
"26",   "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Veit Kolbe", "0", "-", "-",
"27",   "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Diego Domingo", "0", "-", "-",
"28",   "", "STREAMER", "vrc_formula_lithium_2023_csp", "Moskito1116", "0", "-", "-",

Practice laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Colin Kinzer"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:11.5140", "63.7890", "20.5470", "47.1780",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "03:03.2570", "88.0960", "19.5340", "75.6270",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.3100", "32.5280", "19.5300", "45.2520",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.0510", "33.3470", "20.2640", "46.4400",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:36.7240", "32.3690", "19.4270", "44.9280",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "09:02.9030", "355.1320", "20.0340", "167.7370",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.7420", "37.7890", "21.0460", "47.9070",  "F:ST - R:ST",     "0 ",  
Average,,,"02:59.7859", "91.8643", "20.0546", "67.8670"
Best possible,,, "01:36.7240", "32.3690", "19.4270", "44.9280"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:06.3470", "58.8480", "20.9600", "46.5390",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.8770", "33.1320", "20.1590", "45.5860",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.9800", "34.9470", "20.5370", "45.4960",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.0360", "33.0790", "20.0430", "45.9140",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "02:40.2080", "93.8290", "20.3980", "45.9810",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.8540", "33.1540", "20.1730", "45.5270",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.6640", "32.8960", "20.0930", "45.6750",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "02:41.2840", "94.1490", "20.2410", "46.8940",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.6010", "32.7700", "19.3820", "45.4490",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "03:50.8880", "33.5230", "20.5830", "176.7820",  "F:ST - R:ST",     "0 ",  
Average,,,"02:07.2739", "48.0327", "20.2569", "58.9843"
Best possible,,, "01:37.6010", "32.7700", "19.3820", "45.4490"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josh Brookes"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:52.1040", "103.8120", "21.7260", "46.5660",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.5920", "33.6190", "20.2450", "46.7280",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.7250", "32.9070", "19.4390", "45.3790",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.5100", "33.7140", "20.3030", "47.4930",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "03:16.4180", "128.0820", "20.2450", "48.0910",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:47.5840", "40.9480", "20.9250", "45.7110",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4440", "34.1690", "20.2010", "47.0740",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.3370", "32.6140", "20.4930", "45.2300",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "05:01.4100", "232.3160", "20.8630", "48.2310",  "F:ST - R:ST",     "0 ",  
Average,,,"02:21.9027", "74.6868", "20.4933", "46.7226"
Best possible,,, "01:37.2830", "32.6140", "19.4390", "45.2300"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Nahteyue"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:16.5090", "69.0490", "20.5520", "46.9080",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.1250", "33.5160", "20.1100", "46.4990",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.9540", "32.9390", "20.1340", "45.8810",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.4660", "32.9420", "20.5160", "46.0080",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "02:36.4530", "83.5340", "20.1510", "52.7680",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.3240", "33.0840", "19.8000", "45.4400",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.1740", "32.8430", "19.9440", "46.3870",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:52.9000", "33.4300", "21.3530", "58.1170",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.7550", "32.8190", "19.4850", "45.4510",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3920", "34.0330", "20.2950", "48.0640",  "F:ST - R:ST",     "0 ",  
"11 ", vrc_formula_lithium_2023_csp, no,"0", "03:02.7740", "61.2750", "19.6110", "101.8880",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:48.7860", "36.9120", "20.8390", "51.0350",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:56.1343", "43.0313", "20.2325", "52.8705"
Best possible,,, "01:37.7440", "32.8190", "19.4850", "45.4400"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ks"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:26.1110", "79.5470", "20.3850", "46.1790",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.9020", "33.5770", "20.4520", "45.8730",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "03:00.6140", "110.6310", "23.0300", "46.9530",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.7360", "33.5370", "20.1330", "46.0660",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.5190", "33.1530", "20.2540", "46.1120",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:52.5270", "44.2260", "20.9780", "47.3230",  "F:ST - R:ST",     "4  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "02:37.0540", "89.1810", "20.0970", "47.7760",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.9300", "33.0850", "19.5340", "45.3110",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "06:58.0960", "350.1280", "20.3130", "47.6550",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"02:36.8321", "89.6739", "20.5751", "46.5831"
Best possible,,, "01:37.9300", "33.0850", "19.5340", "45.3110"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"cndelta"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "08:34.6260", "446.8560", "20.0610", "47.7090",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.2260", "32.8310", "19.9670", "45.4280",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.8640", "32.9760", "20.2320", "50.6560",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "03:22.0820", "134.5870", "20.5330", "46.9620",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
Average,,,"03:49.6996", "161.8125", "20.1983", "47.6888"
Best possible,,, "01:38.2260", "32.8310", "19.9670", "45.4280"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jens Beetsma"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:14.5370", "61.3220", "20.4400", "52.7750",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.7280", "33.2660", "20.1060", "45.3560",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.7900", "32.8280", "20.1330", "45.8290",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.1130", "32.8540", "20.1380", "45.1210",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.5260", "32.8470", "20.3080", "47.3710",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.1550", "32.9790", "19.7460", "47.4300",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.7560", "32.9980", "20.1600", "45.5980",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "03:26.2370", "137.3780", "20.3180", "48.5410",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
